项目名,卡片标题,年份,赛道与奖项,学生年级,主题标签,一句话钩子,用户是谁,解决的问题,AI怎么介入,学生可改造项目,6节课Demo目标,使用的AI能力,最终展示材料,课堂提问,想一想,项目小贴士,难度,社会影响分,技术难度分,信息完整度,来源链接,是否课堂展示,展示排序,封面图路径,封面图描述,封面图来源,封面图授权,封面图状态,封面图/视觉提示
好运日历机 Open Calendar,把 AI 陪伴打印成每日好运签,2026,2026 小红书黑客松巅峰赛硬件赛道二等奖,高年级/高中可改造，原项目团队年级未公开,"AI硬件, 情绪陪伴, 个性化提醒, 打印交互",如果 AI 不只在手机里聊天，而是每天打印一张能带走的行动签，会不会更容易让人照做？,需要每日提醒、情绪陪伴或仪式感反馈的年轻用户、桌面设备用户,手机里的 AI 建议容易看完就忘，用户缺少一个能把提醒、运势、待办和行动建议变成现实物件的桌面入口。,AI 结合用户信息、每日角色、运势/特殊日/待办上下文，生成个性化祈福事项、签文解释和行动建议，再通过桌面屏幕与热敏打印输出。,学习好运签打印机、考试复习每日任务签、班级情绪补给站、校园活动提醒小票机。,做出一个能输入用户状态/今日任务，生成一句鼓励、一个行动建议，并展示或打印成小票的 AI 桌面原型。,LLM 文案生成、个性化推荐、用户记忆/上下文管理、软硬件交互、打印输出,桌面硬件或纸板原型、AI 生成签文页面、打印小票样张、用户流程演示视频,为什么把 AI 建议打印出来，可能比只显示在屏幕上更有行动力？,你每天最需要被提醒的一件小事是什么？如果它变成一张能贴在桌上的 AI 小票，内容应该怎么写？,先别做复杂玄学系统，可以从“今日目标 + 情绪状态 + 一句行动建议 + 小票版式”开始，重点跑通输入、生成、展示/打印的闭环。,中高,4,4,中高,https://mp.weixin.qq.com/s/EZJPjdW6NRHOISONYbk4ZA；https://github.com/noonwake-ai/open-calendar；https://www.sohu.com/a/1008579935_114760,1,11,/images/cards/open-calendar.webp,Open Calendar 好运日历机官网图，展示桌面硬件原型与打印入口,Noonwake 官方网站图片：https://noonwake.com/；GitHub 项目：https://github.com/noonwake-ai/open-calendar,项目官网公开图片，课堂引用；需避免商用传播,已确认,桌面双屏小设备吐出一张好运签，屏幕上有日历、今日角色和行动建议
Publora,让社团账号有节奏发布内容的 AI 运营助手,2026,Product Hunt 2026 近期热门，公开页面显示 launched this week / 近期论坛预热,初中-高中,"社团运营, AI代理, 社交媒体",如果社团每周都要发通知，AI 能不能帮你排版、发布并复盘效果？,学生社团宣传组、校园公众号/视频号运营者、活动组织者,学生团队常常没人持续整理活动素材、跨平台发帖、查看互动数据，导致好项目没有被看见。,AI 代理通过 MCP/API 连接多个社交平台，辅助生成内容、排期发布、读取互动反馈并给出优化建议。,校园活动发布助手、班级新闻自动排期器、社团内容复盘机器人。,做出一个输入活动信息后生成三版平台文案、发布时间表和互动复盘表的原型。,LLM、AI代理、内容生成、API/MCP、数据分析,发布日历原型、多平台文案包、互动数据复盘页,AI 可以自动替社团发帖到什么程度？哪些内容必须由真人确认？,如果你的社团下周有活动，AI 应该先问哪些信息，才能写出不夸张、不误导的宣传？,先限定一个安全场景，比如班级公告或社团活动。让 AI 生成草稿和排期，但保留人工审核按钮，避免自动乱发。,中高,4,4,高,https://www.producthunt.com/products/publora；https://publora.com,1,12,/images/cards/publora.webp,Publora 官网预览图，展示社交内容排程后台,项目官网预览图：https://publora.com,项目官网公开截图，课堂引用；需避免商用传播,已确认,校园社团运营看板、AI 生成多平台帖子、发布时间轴和互动数据图表
SellerClaw,让校园义卖小店跑起来的 AI 店长团队,2026,Product Hunt 2026 近期热门，公开页面显示 launched this week / Day Rank,高中,"创业实践, AI代理, 电商运营",一个校园义卖摊位，也能不能拥有采购、定价、客服和广告四个 AI 小助手？,学生创业小组、校园义卖团队、公益筹款项目负责人,小型网店或义卖项目需要同时处理选品、定价、商品描述、宣传和客服，学生团队容易顾此失彼。,多个 AI 代理分别负责选品建议、商品文案、价格和库存提醒、客户问题回复，并由监督代理汇总待确认动作。,校园义卖 AI 店长、二手书交换小店助手、公益周边售卖运营台。,做出一个商品表输入后自动生成定价建议、商品页文案、客服回复和待审核任务清单的 demo。,多代理协作、LLM、表格分析、推荐规则、人工审核流程,小店运营仪表盘、商品卡片、AI 任务清单、客服对话样例,AI 店长能替学生做决定吗？价格、退款和承诺哪些地方必须人来确认？,如果你要卖一批校园公益周边，AI 应该根据哪些数据判断定价和补货，而不是只追求卖得快？,把真实交易替换成模拟数据。重点展示“AI 建议 + 人类批准”的流程，不要让学生项目直接处理付款或隐私信息。,高,4,5,高,https://www.producthunt.com/products/sellerclaw；https://sellerai.com/sellerclaw/,1,13,/images/cards/sellerclaw.webp,SellerClaw 官网首屏截图，展示 AI 电商代理产品定位,项目官网截图：https://sellerai.com/sellerclaw/,项目官网公开截图，课堂引用；需避免商用传播,已确认,校园义卖小店后台，四个 AI 代理分别处理选品、定价、宣传和客服
Gemini 3.5 Live Translate,给跨语言家校沟通加字幕的实时翻译助手,2026,Product Hunt 2026 近期热门，June 10 Day Rank #5,初中-高中,"语言公平, 实时语音, 家校沟通",家长和老师说不同语言时，AI 能不能让会议不用第三个人也能听懂？,跨语言家庭、国际学校老师、社区活动组织者,家长会、社区会议或小组合作中，语言障碍会让重要信息传不到真正需要的人。,实时语音识别、翻译和语音/字幕输出，让不同语言使用者可以接近同步理解对方内容。,家校会议实时字幕助手、社区活动双语字幕屏、校内国际生欢迎导览。,做出一个录音/文本输入后输出双语字幕、关键词摘要和误译标记的原型。,语音识别、机器翻译、实时字幕、摘要生成,双语字幕演示页、会议摘要卡、误译风险说明,实时翻译什么时候会帮上忙，什么时候可能制造误会？,如果 AI 把老师的一句话翻译错了，谁会受到影响？产品应该怎样提醒用户“这可能不准确”？,用短音频或课堂对话脚本做 demo。展示延迟、准确率和人工确认，不要把机器翻译包装成完全可靠。,中高,5,4,高,https://www.producthunt.com/products/gemini-3-5-live-translate；https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-live-3-5-translate/,1,14,/images/cards/gemini-live-translate.webp,Gemini 3.5 Live Translate 官方博客封面图，展示实时翻译功能,Google 官方博客图片：https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-live-3-5-translate/,官方博客公开图片，课堂引用；需避免商用传播,已确认,家长会场景，老师讲话实时变成双语字幕，旁边显示关键词和误译提醒
Tamadoggo,把宠物日常变成温暖档案的 AI 陪伴日记,2026,Product Hunt 2026 近期热门，June 8 Day Rank #6,初中-高中,"动物关怀, 生活记录, AI洞察",每天遛狗、喂食、看医生的碎片记录，AI 能不能变成一份有温度的成长档案？,养宠家庭、学生志愿者、动物救助社团、宠物照护者,宠物照护信息常散落在照片、聊天记录、纸质兽医单和记忆里，久了很难看出规律或回顾重要时刻。,AI 从时间线记录中发现饮食、活动、体重或就诊模式，识别兽医文件信息，并生成温暖的月度回顾。,校园动植物观察日记、班级宠物照护日志、收容所动物成长档案。,做出一个日记输入、照片/文档信息提取、规律提示和月度回顾信的原型。,多模态信息提取、NLP、时间线整理、模式识别、摘要生成,宠物时间线页面、照护规律卡、月度回顾信、隐私与非诊断说明,AI 什么时候是在温柔提醒，什么时候可能变成过度诊断？,如果你连续记录一只宠物或校园植物 30 天，AI 能帮你发现哪些人眼容易忽略的变化？,不要让 AI 给医疗诊断。学生版可以改成观察记录和温和提醒，把真正的健康判断留给兽医或老师。,中,4,4,高,https://www.producthunt.com/products/tamadoggo；https://tamadoggo.com/,1,15,/images/cards/tamadoggo.webp,Tamadoggo 官网手机界面图，展示宠物生活时间线,项目官网截图：https://tamadoggo.com/,项目官网公开截图，课堂引用；需避免商用传播,已确认,宠物生活时间线、兽医单据识别、AI 写出的温暖月度信
Wave,把随口说出的灵感变成文字的本地优先语音助手,2026,Product Hunt 2026 近期热门，June 7 Day Rank #2,初中-高中,"无障碍学习, 语音输入, 隐私保护",打字慢、想法快的时候，AI 能不能把你的口述直接放进正在写的地方？,写作困难学生、需要快速记录想法的学生、老师和项目小组,很多学生脑子里有想法，但打字慢、表达乱或多语言混说，导致笔记和作业草稿很难成形。,AI 通过热键语音输入完成转写、改写和上下文处理，可选择本地或云端模型，结果直接插入当前应用。,课堂口述笔记助手、项目灵感语音收集器、隐私优先的本地转写工具。,做出一个口述输入后自动生成课堂笔记、待办清单和正式邮件三种输出的 demo，并标注本地/云端模式。,语音识别、文本清理、上下文改写、本地/云端模型选择,语音输入界面、整理前后对比、本地与云端隐私说明卡,语音输入工具为什么要让用户知道音频去了哪里？,如果你对 AI 说“我刚才讲错了”，它应该怎么知道要改前一句，而不是把这句话也写进去？,可以先不用真实录音，改用学生口述文本模拟。重点是让 AI 学会“整理”而不是替学生凭空写作，并说明隐私选择。,中,4,3,中高,https://www.producthunt.com/products/wave-16,1,16,/images/cards/wave.webp,Wave GitHub README 横幅图，展示 macOS 语音转文字应用,GitHub README 图片：https://github.com/mxvsh/wave,公开 GitHub README 图片，课堂引用；需避免商用传播,已确认,学生按住热键口述灵感，AI 在当前文档中生成笔记和清单
FallGuard,给独居长辈的 AI 跌倒守护器,2025,2025 3M Young Scientist Challenge 第一名 / America's Top Young Scientist,初中，13 岁,老人照护、计算机视觉、安全提醒,如果家里老人跌倒没人发现，AI 能不能在一分钟内通知家人？,独居老人、照护者、养老社区,独居老人跌倒后可能长时间无人发现，传统穿戴设备又容易忘记佩戴或充电。,姿态识别 AI 分析摄像头画面中的人体关键点和动作变化，判断跌倒或长时间躺倒，并向家人手机发送提醒。,校园安全跌倒提醒、体育课摔倒检测演示、独居亲友关怀小助手。,做出能识别站立/躺倒/疑似跌倒样例，并触发模拟通知的安全提醒原型。,计算机视觉、姿态识别、边缘/本地处理、提醒流程设计,视频识别 demo、提醒流程页、隐私边界说明卡,安全监测要保护人，还是会让人觉得被监视？边界在哪里？,如果摄像头能保护人，也可能让人紧张，产品怎样只保存必要信息？,先用公开姿态样例或自录模拟动作测试，不要真实监控他人。重点展示识别逻辑、误报处理和隐私承诺。,高,5,5,高,https://www.businessinsider.com/13-year-old-won-25000-for-ai-fall-detection-device-2025-12；https://fallguard.net/,1,17,/images/cards/fallguard.webp,FallGuard 官网原型图，展示跌倒检测与通知场景,项目官网图片：https://fallguard.net/,项目官网公开图片，课堂引用；需避免商用传播,已确认,客厅墙上的小摄像头识别老人跌倒，手机弹出紧急提醒，旁边有隐私保护图标
Robert Hook Crop Price Forecast,帮农民预判价格波动的 AI 农价仪表盘,2026,National AI Future Skills Hackathon 2026 Top 10，全国展展示,高中，三名女学生团队,农业科技、价格预测、IoT,如果农产品价格突然暴跌，AI 能不能提前提醒农民别被动亏损？,农民、农业合作社、学生农业项目团队,农民很难同时追踪市场价格、作物供应和环境数据，价格暴跌时容易被迫低价销售。,AI 与 IoT 数据进入网页仪表盘，分析复杂农业数据并给出农作物价格趋势和风险提醒。,校园市集定价助手、食堂食材价格预测、地方特产销售仪表盘。,用样例价格和天气/供应数据做出趋势图、风险提示和销售建议页面。,表格预测、IoT 数据、数据仪表盘、异常提醒,农价仪表盘、价格趋势图、风险提醒卡、建议说明,AI 预测价格会不会影响农民决策？如果预测错了，谁承担后果？,你所在城市有没有一种东西价格经常波动？AI 要看哪些数据，才能提醒卖家或买家？,先用公开历史价格或模拟数据，不要承诺一定涨跌。把结果写成风险提醒和复盘建议，而不是替用户做交易决定。,高,5,5,中高,https://timesofindia.indiatimes.com/city/hubballi/agasagi-school-team-excels-in-ai-hackathon-2026/articleshow/129722979.cms,1,18,/images/cards/robert-hook-crop-price.webp,Robert Hook 农价预测项目新闻配图，展示获奖学生团队,Times of India 新闻配图：https://timesofindia.indiatimes.com/city/hubballi/agasagi-school-team-excels-in-ai-hackathon-2026/articleshow/129722979.cms,公开新闻配图，课堂引用；商用传播需二次确认,待确认,乡村学生团队看着农价预测仪表盘，图表旁边连接土壤和天气传感器
Snap & Snack,帮过敏人群读懂食品成分的 AI 安心扫描器,2025,2025 Congressional App Challenge Connecticut 5th District Winner,高中，11 年级 / 17 岁,健康安全、OCR、AI问答,看不懂配料表时，AI 能不能先帮你发现可能过敏的风险？,食物过敏学生、家长、旅行者、学校餐厅,食物过敏者需要反复检查配料、识别别名和外文标签，外出就餐时压力很大。,扫描条码或配料表，匹配个人过敏源；翻译外文成分，并用 AI 聊天框给出过敏友好食谱或餐厅建议。,校园午餐过敏提醒、旅行菜单翻译助手、零食安全扫描器。,做出过敏源档案、配料输入/扫描、风险标记和替代食谱建议的原型。,OCR/条码识别、规则匹配、机器翻译、LLM 问答,扫描流程图、风险提示卡、AI 食谱回复、安全免责声明,AI 能不能给健康建议？它什么时候必须提醒用户问医生或成年人？,如果一个配料有很多别名，AI 怎样解释“为什么这可能有风险”，而不是只说能不能吃？,先从文本配料表和过敏词典开始。每个风险提示都要显示命中的词和不确定性，不要让 AI 做医疗保证。,中高,5,4,高,https://www.congressionalappchallenge.us/25-ct05/；https://www.ctinsider.com/news/article/avon-teen-snap-snack-app-ct-22259058.php,1,19,/images/cards/snap-and-snack.webp,Snap & Snack 新闻配图，展示 App Challenge 获奖学生与项目板,CT Insider 新闻配图：https://www.ctinsider.com/news/article/avon-teen-snap-snack-app-ct-22259058.php；Congressional App Challenge 页面：https://www.congressionalappchallenge.us/25-ct05/,公开新闻配图，课堂引用；商用传播需二次确认,待确认,手机扫描零食配料表，红色标出过敏源，旁边生成安全替代食谱
Sustainability Heroes,把可持续发展嵌进课堂的 AI 学科助手,2025,The Earth Prize 2025 Middle East Regional Winner,中学生，13-19 岁参赛范围，团队年级未公开,可持续发展、个性化学习、AI课程,如果每一门课都能连到环保行动，AI 能不能帮老师把知识变成校园任务？,中小学老师、学生环保社团、课程设计者,可持续发展教育常停留在口号或单独活动里，老师很难把它自然嵌入不同学科课堂。,公开资料显示该项目是把可持续发展整合进学校学科的 AI 平台；学生版可用 LLM 把课题映射到 SDG、行动任务和评价量规。,校园低碳课程助手、SDG 课堂任务生成器、环保社团项目库。,输入一个学科知识点，生成 SDG 关联、课堂小任务、学生提交格式和评价标准。,LLM 生成、课程映射、推荐系统、评价量规生成,课程任务卡、教师备课页、学生行动提交样例,AI 生成的环保课堂会不会变成空话？怎样让任务真的发生在校园里？,你正在学的一节课，能和哪个真实环境问题连起来？AI 应该给你资料、问题还是行动任务？,先选一个学科和一个环保主题，要求 AI 引用真实资料并生成可执行的小任务，不要一次覆盖所有课程。,中,4,3,中,https://www.theearthprize.org/regional-winners-2025；https://en.wikipedia.org/wiki/The_Earth_Prize,1,20,/images/cards/sustainability-heroes.webp,Sustainability Heroes 官方团队图，展示 Earth Prize 区域获奖项目,The Earth Prize 官方区域获奖页图片：https://www.theearthprize.org/regional-winners-2025,官方公开项目图片，课堂引用；需避免商用传播,已确认,老师在课堂屏幕上选择学科主题，AI 生成 SDG 任务卡和校园行动清单
